"tip","time","weekday","distance","duration_min","points","deliveries_count","fare","month","time_sin","time_cos","geo_distance","speed","geo_speed","log_tip","log_distance","dist_dur","is_weekday","is_summer","time_of_day","log_points","poin_deli","deliveries_f"
4.9,12.5,6,1.97,21.1166666666667,3,1,35,4,0.258819045102521,-0.38268343236509,0.72739524325889,0.0932912391475927,0.0344464992861353,1.77495235091167,1.08856195281461,22.9867999036018,1,0,"afternoon",1.38629436111989,3,"1"
11,1.5,6,9.67,47.3666666666667,3,2,13.12,5,0.707106781186547,0.130526192220051,4.01565317096352,0.204152005629838,0.0847780402033114,2.484906649788,2.36743606531366,112.137554960357,1,1,"night",1.38629436111989,6,"2"
14.89,22.5,3,4.42,23.4666666666667,2,2,8.4,9,-0.707106781186547,0.793353340291235,1.658699587818,0.188352272727273,0.0706832210717897,2.76568998054862,1.69009581545155,39.6609151359299,1,1,"night",1.09861228866811,4,"2"
4.45,20,4,3.88,31.6,6,1,8.07,4,-0.866025403784439,1,2.97114388081574,0.122784810126582,0.0940235405321436,1.69561560867515,1.58514521986506,50.0905889477358,1,0,"evening",1.94591014905531,6,"1"
9.71,16,2,2.44,22.5666666666667,1,1,3.11,8,0.866025403784439,0.5,1.06916136399509,0.108124076809453,0.047377903869797,2.37117788445966,1.23547147138531,27.8804728709285,1,1,"evening",0.693147180559945,1,"1"
16.88,20.5,4,12.47,48.6,18,2,10.97,5,-0.965925826289068,0.99144486137381,6.26440849371044,0.256584362139918,0.128897294109268,2.88368276974537,2.60046499042227,126.382598534522,1,1,"evening",2.94443897916644,36,"2"
9.23,10.5,2,5.76,31.8166666666667,3,1,4.35,4,-0.707106781186548,-0.793353340291235,3.55845488072016,0.18103719224725,0.111842479226406,2.32532457996354,1.91102289005487,60.8023782852459,1,0,"afternoon",1.38629436111989,3,"1"
6.87,3,4,5.06,23.5666666666667,1,1,3.46,5,1,-0.258819045102521,2.28117526086913,0.214710042432815,0.0967966871655924,2.06305806242931,1.80170980008122,42.4602942885809,1,1,"night",0.693147180559945,1,"1"
2,21.5,0,6.62,20.6166666666667,1,1,4.22,3,-0.965925826289068,0.923879532511287,2.44482396223065,0.321099434114794,0.118584832444494,1.09861228866811,2.03077636969855,41.8678394886186,1,0,"night",0.693147180559945,1,"1"
5,8.5,0,19.7,55.8666666666667,2,1,17.71,9,-0.965925826289068,-0.99144486137381,7.24613915991808,0.352625298329356,0.129704161573713,1.79175946922805,3.03013370027132,169.283469388491,1,1,"afternoon",1.09861228866811,2,"1"
3.07,20.5,2,6.66,25.1166666666667,6,1,4.98,4,-0.965925826289068,0.99144486137381,5.29929810692205,0.265162574651626,0.210987316798489,1.4036429994545,2.0360119837525,51.1378343252504,1,0,"evening",1.94591014905531,6,"1"
3,9,2,7.16,35.0833333333333,1,1,4.59,8,-1,-0.965925826289068,3.73483990310546,0.204085510688836,0.106456244269039,1.38629436111989,2.09924416897602,73.6484829282418,1,1,"afternoon",0.693147180559945,1,"1"
10,8.5,0,2.44,13.6,1,1,3.25,6,-0.965925826289068,-0.99144486137381,0.60004639656486,0.179411764705882,0.0441210585709456,2.39789527279837,1.23547147138531,16.8024120108402,1,1,"afternoon",0.693147180559945,1,"1"
4.59,11,4,2.52,17.1166666666667,3,1,2.97,6,-0.5,-0.707106781186547,1.06406353576797,0.147224926971762,0.0621653477566485,1.72097928716701,1.25846098961001,21.540657272158,1,1,"afternoon",1.38629436111989,3,"1"
5.23,23.5,5,3.76,28.0666666666667,1,1,3.81,8,-0.258819045102521,0.608761429008721,2.48313133157143,0.13396674584323,0.0884726127638277,1.82937633279936,1.56024766824333,43.7909512220295,1,1,"night",0.693147180559945,1,"1"
3,9,5,3.35,33.5666666666667,1,1,5.5,4,-1,-0.965925826289068,1.75189180248955,0.0998013902681231,0.0521914141754581,1.38629436111989,1.47017584510059,49.3489025338766,1,0,"afternoon",0.693147180559945,1,"1"
5,20,5,6.72,34.8166666666667,12,2,11.02,4,-0.866025403784439,1,1.24264842994205,0.193011010052657,0.0356911947326582,1.79175946922805,2.04381436403668,71.1588034412106,1,0,"evening",2.56494935746154,24,"2"
5,10,6,1.36,16.7833333333333,1,1,2.56,6,-0.866025403784439,-0.866025403784439,0.704208424569365,0.0810327706057597,0.0419587939167447,1.79175946922805,0.858661619037519,14.4112041728463,1,1,"afternoon",0.693147180559945,1,"1"
5.69,19,5,3.68,37,12,2,21.18,5,-0.499999999999999,0.965925826289068,3.82119643048727,0.0994594594594595,0.103275579202359,1.90061387414014,1.54329810992956,57.1020300673935,1,1,"evening",2.56494935746154,24,"2"
2,20.5,4,4.62,29.45,6,1,5.08,4,-0.965925826289068,0.99144486137381,1.19735794351044,0.156876061120543,0.040657315569115,1.09861228866811,1.7263316639056,50.8404675020199,1,0,"evening",1.94591014905531,6,"1"
3.39,19.5,1,4.39,17.0666666666667,6,1,6.29,6,-0.707106781186547,0.99144486137381,2.34162443316014,0.2572265625,0.137204556630477,1.47932922708708,1.68454538492091,28.7495745693168,1,1,"evening",1.94591014905531,6,"1"
